userID|filmID|roomID|seatID|itemIDs
dng|ANM04|-|C5|
dng|ACT01|-|D5|CORN01:2;BEV01:1;BEV02:1
tin|ANM04|-|D5|
tin|ANM04|-|C6|BEV01:1
tin|ACT04|-|C5|
tin|ACT04|-|C6|
tin|ANM04|-|C5|
tin|ACT02|-|E6|
tin|ANM04|-|B5|
tin|ANM04|-|B6|
tin|ANM04|-|C6|
tin|ANM04|-|C7|
tin|ANM04|-|C5|
tin|ANM04|-|D5|
tin|ANM04|-|D4|
tin|ANM04|-|C4|
tin|ACT02|-|E5|
tin|ANM04|-|E6|
tin|ANM04|-|E5|CORN03:1;BEV01:2;BEV02:2;CORN01:1;CORN02:1;CORN03:1;CORN01:1;BEV01:1;COMBO01:1
tin|ANM04|-|E7|
tin|ANM04|-|D6|
tin|ACT05|-|D5|CORN03:1
